snowflake_name,csv_name
Czechia,Czech Republic
"Korea, Republic of",South Korea
"Virgin Islands, U.S.",United States Virgin Islands
United_Kingdom,United Kingdom
"Bolivia, Plurinational State of",Bolivia
"Iran, Islamic Republic of",Iran
"Lao People's Democratic Republic",Laos
"Syrian Arab Republic",Syria
"Viet Nam",Vietnam
"Russian Federation",Russia
"Congo, The Democratic Republic of the",Democratic Republic of the Congo
"Holy See (Vatican City State)",Vatican City
"Brunei Darussalam",Brunei
"Moldova, Republic of",Moldova
"Venezuela, Bolivarian Republic of",Venezuela
"C̫te d'Ivoire",Cote d'Ivoire
